"","County/SubCounty","Sex_Total","Sex_Male","Sex_Female","Households_Total","Households_Conventional","Households_GroupQuarters","LandArea(Sq km)","Density(Persons per Sq km)"
"190","THIKA EAST",38956,19688,19264,12736,12736,NA,110,354
"191","THIKA WEST",245820,120698,125104,89458,89089,369,91,2689
"192","TURKANA",926976,478087,448868,164519,162627,1892,68233,14
"193","KIBISH",36769,18651,18117,5805,5699,106,10466,4
"194","LOIMA",107795,54341,53453,19438,19139,299,9120,12
"195","TURKANA CENTRAL",185305,93145,92160,38173,37917,256,6415,29
"196","TURKANA EAST",138526,76871,61643,17981,17887,94,11396,12
"197","TURKANA NORTH",65218,32810,32408,13119,12964,155,7012,9
"198","TURKANA SOUTH",153736,78402,75329,24552,24281,271,7045,22
"199","TURKANA WEST",239627,123867,115758,45451,44740,711,16779,14
"200","WEST POKOT",621241,307013,314213,116182,115761,421,9123,68
"201","KIPKOMO",102633,50923,51703,18370,18367,3,766,134
"202","POKOT CENTRAL",119016,59682,59331,21850,21784,66,2055,58
"203","POKOT NORTH",134485,64780,69702,25804,25736,68,3911,34
"204","POKOT SOUTH",80661,39808,40851,13817,13752,65,537,150
"205","WEST POKOT",184446,91820,92626,36341,36122,219,1855,99
"206","SAMBURU",310327,156774,153546,65910,63951,1959,21090,15
"207","SAMBURU CENTRAL",164942,83633,81307,34202,33720,482,3699,45
"208","SAMBURU EAST",77994,38211,39782,18424,17307,1117,10016,8
"209","SAMBURU NORTH",67391,34930,32457,13284,12924,360,7375,9
"210","TRANS NZOIA",990341,489107,501206,223808,222989,819,2495,397
"211","TRANS NZOIA WEST",202377,101198,101174,47603,47576,27,355,569
"212","TRANS NZOIA EAST",229538,113498,116029,50017,49955,62,629,365
"213","KWANZA",203821,100234,103584,45752,45599,153,465,438
"214","ENDEBESS",111782,56090,55689,23705,23246,459,678,165
"215","KIMININI",242823,118087,124730,56731,56613,118,367,662
"216","UASIN GISHU",1163186,580269,582889,304943,301110,3833,3399,342
"217","AINABKOI",138184,68348,69835,34892,34862,30,483,286
"218","KAPSERET",198499,99650,98845,59746,59678,68,299,663
"219","KESSES",148798,74301,74493,34653,34623,30,748,199
"220","MOIBEN",181338,90309,91027,46729,46602,127,770,236
"221","SOY",229094,114082,115007,53784,53758,26,668,343
"222","TURBO",267273,133579,133682,75139,71587,3552,431,620
"223","ELGEYO/MARAKWET",454480,227317,227151,99861,99119,742,3032,150
"224","KEIYO NORTH",99176,49601,49574,21947,21749,198,543,183
"225","KEIYO SOUTH",120750,60919,59827,27029,26740,289,898,134
"226","MARAKWET EAST",97041,47849,49190,21362,21123,239,853,114
"227","MARAKWET WEST",137513,68948,68560,29523,29507,16,738,186
"228","NANDI",885711,441259,444430,199426,199040,386,2849,311
"229","CHESUMEI",164133,80949,83180,39051,39011,40,475,346
"230","NANDI CENTRAL",147553,73291,74255,34400,34247,153,362,407
"231","NANDI EAST",119173,59899,59271,29253,29249,4,392,304
"232","NANDI NORTH",166171,82512,83656,35297,35257,40,606,274
"233","NANDI SOUTH",172750,85718,87029,37094,37038,56,457,378
"234","TINDERET",115931,58890,57039,24331,24238,93,557,208
"235","BARINGO",666763,336322,330428,142518,141877,641,10985,61
"236","BARINGO CENTRAL",96951,48120,48829,23555,23523,32,786,123
"237","BARINGO NORTH",104871,52369,52500,23500,23345,155,1629,64
"238","EAST POKOT",79923,40462,39459,14498,14392,106,2500,32
"239","KOIBATEK",129535,65295,64238,30774,30752,22,939,138
"240","MARIGAT",90955,45706,45246,19854,19658,196,1405,65
"241","MOGOTIO",91104,46014,45088,18184,18169,15,1375,66
"242","TIATY EAST",73424,38356,35068,12153,12038,115,2163,34
"243","LAKE BARINGO",NA,NA,NA,NA,NA,NA,186,NA
"244","LAIKIPIA",518560,259440,259102,149271,145776,3495,9508,55
"245","LAIKIPIA CENTRAL",95594,47888,47705,30372,29877,495,1233,78
"246","LAIKIPIA EAST",102815,52078,50732,33505,31311,2194,1539,67
"247","LAIKIPIA NORTH",36184,18067,18116,7752,7694,58,2550,14
"248","LAIKIPIA WEST",129263,65158,64102,33025,32821,204,3372,38
"249","NYAHURURU",154704,76249,78447,44617,44073,544,813,190
"250","NAKURU",2162202,1077272,1084835,616046,598237,17809,7505,288
"251","GILGIL",185209,92955,92247,58920,49405,9515,1075,172
"252","KURESOI NORTH",175074,87472,87599,40359,40168,191,618,283
"253","KURESOI SOUTH",155324,78204,77117,34627,34543,84,591,263
"254","MOLO",156732,78129,78598,41462,41439,23,483,324
"255","NAIVASHA",355383,179222,176132,117633,111493,6140,1958,181
"256","NAKURU EAST",193926,92956,100960,61398,60066,1332,231,840
"257","NAKURU NORTH",218050,106155,111880,61728,61582,146,387,563
"258","NAKURU WEST",198661,101797,96854,64481,64429,52,72,2764
"259","NJORO",238773,118361,120408,61271,61156,115,699,341
"260","RONGAI",199906,99976,99922,52348,52248,100,988,202
"261","SUBUKIA",85164,42045,43118,21819,21708,111,402,212
"262","NAROK",1157873,579042,578805,241125,238115,3010,17932,65
"263","NAROK EAST",115323,58699,56617,25078,24860,218,2042,56
"264","NAROK NORTH",251862,128024,123829,59996,59802,194,2159,117
"265","NAROK SOUTH",238472,118441,120029,46723,46549,174,4577,52
"266","NAROK WEST",195287,97085,98198,38658,37782,876,5563,35
"267","TRANS MARA EAST",111183,54545,56637,20506,20439,67,310,359
"268","TRANS MARA WEST",245714,122220,123491,50132,48683,1449,2546,97
"269","MAU FOREST",32,28,4,32,NA,NA,734,NA
"270","KAJIADO",1117840,557098,560704,316179,313218,2961,21871,51
"271","ISINYA",210473,105607,104860,71579,71395,184,1072,196
"272","KAJIADO CENTRAL",161862,81514,80343,37238,37059,179,4239,38
"273","KAJIADO NORTH",306596,150675,155908,101378,100908,470,111,2773
"274","KAJIADO WEST",182849,91607,91237,42774,42367,407,7862,23
"275","LOITOKITOK",191846,94613,97225,47058,45581,1477,6337,30
"276","MASHUURU",64214,33082,31131,16152,15908,244,2251,29
"277","KERICHO",901777,450741,451008,206036,205932,104,2436,370
"278","BELGUT",145072,72508,72564,35012,34978,34,264,549
"279","BURETI",199470,98823,100642,43117,43098,19,321,622
"280","KERICHO EAST",170625,86671,83947,44246,44246,NA,241,709
"281","KIPKELION",122530,61066,61460,24688,24676,12,350,350
"282","LONDIANI",137580,68570,69000,31778,31739,39,400,344
"283","SOIN SIGOWET",126500,63103,63395,27195,27195,NA,466,271
"284","MAU FOREST",NA,NA,NA,NA,NA,NA,201,NA
"285","TINDERET FOREST",NA,NA,NA,NA,NA,NA,194,NA
"286","BOMET",875689,434287,441379,187641,187230,411,2507,349
"287","BOMET EAST",144275,71095,73172,29958,29897,61,305,473
"288","CHEPALUNGU",164837,79921,84912,33931,33850,81,461,358
"289","KONOIN",163507,83120,80384,38178,38123,55,393,417
"290","SOTIK",227855,112369,115482,47315,47265,50,544,419
"291","BOMET CENTRAL",175215,87782,87429,38259,38095,164,286,613
"292","MAU FOREST",NA,NA,NA,NA,NA,NA,519,NA
"293","KAKAMEGA",1867579,897133,970406,433207,432284,923,3017,619
"294","BUTERE",154100,73634,80463,36243,36243,NA,210,734
"295","KAKAMEGA CENTRAL",188212,92774,95432,52015,51956,59,155,1212
"296","KAKAMEGA EAST",167641,80853,86784,39589,39589,NA,417,402
"297","KAKAMEGA NORTH",238330,115511,122814,51083,50952,131,421,566
"298","KAKAMEGA SOUTH",111743,53219,58524,26964,26940,24,146,764
"299","KHWISERO",113476,53670,59803,27681,27681,NA,146,779
"300","LIKUYANI",152055,73710,78341,35322,34776,546,316,481
"301","LUGARI",122728,59135,63593,27862,27817,45,254,483
"302","MATETE",66172,31749,34423,13956,13956,NA,103,644
"303","MATUNGU",166940,78793,88143,36457,36414,43,276,606
"304","MUMIAS EAST",116851,55895,60953,26049,25995,54,150,778
"305","MUMIAS WEST",115354,54915,60438,27671,27650,21,163,706
"306","NAVAKHOLO",153977,73275,80695,32315,32315,NA,259,594
"307","VIHIGA",590013,283678,306323,143365,143288,77,564,1047
"308","EMUHAYA",97141,46507,50633,23804,23803,1,89,1091
"309","VIHIGA",95292,45788,49501,23375,23359,16,90,1058
"310","SABATIA",131628,62944,68683,31422,31391,31,111,1181
"311","LUANDA",106694,51525,55165,26766,26766,NA,84,1265
"312","HAMISI",159241,76901,82337,37986,37965,21,157,1013
"313","KAKAMEGA FOREST",17,13,4,12,4,8,32,1
"314","BUNGOMA",1670570,812146,858389,358796,357714,1082,3024,552
"315","BUMULA",215892,103368,112523,44954,44922,32,345,625
"316","BUNGOMA CENTRAL",177748,86302,91438,37803,37535,268,233,764
"317","BUNGOMA EAST",114548,55775,58771,24873,24798,75,163,702
"318","BUNGOMA NORTH",121317,58790,62526,24998,24940,58,192,633
"319","BUNGOMA SOUTH",287765,139705,148055,69151,69088,63,321,896
"320","CHEPTAIS",136035,67717,68312,26326,26007,319,223,610
"321","KIMILILI",162038,78560,83475,35263,35053,210,180,902
"322","MT ELGON",78873,38977,39893,15276,15230,46,126,624
"323","BUNGOMA WEST",119875,58225,61649,25172,25166,6,211,568
"324","TONGAREN",100343,48685,51657,21343,21343,NA,185,542
"325","WEBUYE WEST",152515,74180,78331,32839,32834,5,239,638
"326","MT ELGON FOREST",3621,1862,1759,798,798,NA,606,6
"327","BUSIA",893681,426252,467401,198152,197944,208,1700,526
"328","BUNYALA",85977,41465,44511,19039,19028,11,192,447
"329","BUSIA",142408,69034,73373,33160,33152,8,196,727
"330","BUTULA",140334,65136,75195,32213,32199,14,247,568
"331","NAMBALE",111636,52900,58732,23892,23889,3,238,469
"332","SAMIA",107176,50821,56341,23884,23813,71,262,408
"333","TESO NORTH",138034,66412,71619,29395,29314,81,261,529
"334","TESO SOUTH",168116,80484,87630,36569,36549,20,303,555
"335","SIAYA",993183,471669,521496,250698,249341,1357,2530,393
"336","SIAYA",224343,105906,118433,57553,57386,167,599,375
"337","GEM",179792,85696,94092,44884,44696,188,405,444
"338","UGENYA",134354,62624,71726,33565,33554,11,324,415
"339","UGUNJA",104241,48912,55329,26328,26321,7,201,519
"340","BONDO",197883,95962,101917,51362,50454,908,599,330
"341","RARIEDA",152570,72569,79999,37006,36930,76,402,379
"342","KISUMU",1155574,560942,594609,300745,296846,3899,2085,554
"343","KISUMU EAST",220997,108304,112689,61871,61499,372,142,1560
"344","KISUMU CENTRAL",174145,84155,89985,52331,52163,168,37,4737
"345","KISUMU WEST",172821,85697,87121,45933,42785,3148,209,827
"346","SEME",121667,57658,64007,29404,29404,NA,268,454
"347","MUHORONI",154116,76770,77345,37193,36982,211,658,234
"348","NYANDO",161508,77121,84380,38460,38460,NA,446,362
"349","NYAKACH",150320,71237,79082,35553,35553,NA,327,460
"350","HOMA BAY",1131950,539560,592367,262036,260290,1746,3153,359
"351","HOMA BAY",117439,55756,61681,29318,28471,847,182,645
"352","NDHIWA",218136,103706,114422,48062,47956,106,713,306
"353","RACHUONYO NORTH",178686,85409,93273,41809,41661,148,435,410
"354","RACHUONYO EAST",121822,57709,64111,27319,27229,90,251,486
"355","RACHUONYO SOUTH",130814,61663,69151,30990,30693,297,256,511
"356","RANGWE",117732,55404,62325,27003,26983,20,274,429
